county,month,user_name,vacation_length
Alba Iulia,Ianuarie,SONJA FARMER,7
Alba Iulia,Ianuarie,CLYDE HOLLOWAY,1
Alba Iulia,Ianuarie,PASQUALE MERRITT,15
Alba Iulia,Ianuarie,ROSELLA KELLY,3
Alba Iulia,Ianuarie,PAIGE SANTANA,5
Alba Iulia,Ianuarie,TRENTON BARRERA,4
Alba Iulia,Ianuarie,BETTE VELAZQUEZ,5
Alba Iulia,Ianuarie,ROSALINDA LONG,8
Alba Iulia,Ianuarie,JOE OWENS,5
Alba Iulia,Ianuarie,JOSUE AUSTIN,15
Alba Iulia,Ianuarie,TAMERA GLOVER,3
Alba Iulia,Ianuarie,EDDIE LARA,5
Alba Iulia,Ianuarie,KRISTIN DUNLAP,8
Alba Iulia,Ianuarie,DINA ORR,13
Alba Iulia,Ianuarie,THERESE COLLIER,14
Alba Iulia,Ianuarie,BARBARA NAVA,9
Alba Iulia,Ianuarie,MARIANNE FISCHER,12
Alba Iulia,Ianuarie,GUILLERMO RICH,10
Alba Iulia,Ianuarie,JIM HOBBS,7
Alba Iulia,Ianuarie,CARTER CLINE,3
Alba Iulia,Ianuarie,CHANG RAMOS,1
Alba Iulia,Februarie,NORA STEVENSON,1
Alba Iulia,Februarie,DOLLIE ROCHA,5
Alba Iulia,Februarie,QUEEN FRANCIS,11
Alba Iulia,Februarie,ALFREDA CHERRY,4
Alba Iulia,Februarie,HIRAM WHITE,3
Alba Iulia,Februarie,YVONNE SPEARS,14
Alba Iulia,Februarie,HELENE YOUNG,5
Alba Iulia,Februarie,JACOB FLYNN,12
Alba Iulia,Februarie,SANG HAWKINS,13
Alba Iulia,Februarie,GILBERTO TODD,15
Alba Iulia,Februarie,MARISOL ANDERSEN,4
Alba Iulia,Februarie,JAY MCGEE,8
Alba Iulia,Februarie,DELMER MELENDEZ,9
Alba Iulia,Februarie,DIANA SOTO,14
Alba Iulia,Februarie,LAKEISHA POPE,15
Alba Iulia,Februarie,MARCELO YU,8
Alba Iulia,Februarie,BEN ORR,4
Alba Iulia,Februarie,TIA BENSON,10
Alba Iulia,Martie,ROXANNE CARRILLO,13
Alba Iulia,Martie,JOHNNY FRY,8
Alba Iulia,Martie,WOODROW CASTRO,14
Alba Iulia,Martie,WILFREDO MCCLURE,4
Alba Iulia,Martie,MARISA STONE,11
Alba Iulia,Martie,TYREE GLASS,15
Alba Iulia,Martie,TANISHA LINDSEY,9
Alba Iulia,Martie,LAZARO BENNETT,3
Alba Iulia,Martie,SOCORRO BALLARD,1
Alba Iulia,Martie,MARGIE LAWSON,10
Alba Iulia,Aprilie,MILFORD DILLON,8
Alba Iulia,Aprilie,JANICE RANDOLPH,3
Alba Iulia,Aprilie,CHANG RAMOS,10
Alba Iulia,Aprilie,POLLY CHANDLER,8
Alba Iulia,Aprilie,MARGRET NOVAK,6
Alba Iulia,Aprilie,NED HUNTER,8
Alba Iulia,Aprilie,BOB SWANSON,14
Alba Iulia,Aprilie,IMELDA BURCH,2
Alba Iulia,Aprilie,ROBBIE VALDEZ,13
Alba Iulia,Aprilie,JEANNIE BYRD,1
Alba Iulia,Aprilie,DANA GILLESPIE,1
Alba Iulia,Aprilie,CARMELA HARDING,5
Alba Iulia,Aprilie,CHANG RAMOS,8
Alba Iulia,Aprilie,LENNY XIONG,3
Alba Iulia,Aprilie,ROLANDO LYONS,7
Alba Iulia,Aprilie,DAPHNE HANNA,1
Alba Iulia,Aprilie,RENE PERRY,11
Alba Iulia,Aprilie,MARYLOU WARREN,13
Alba Iulia,Aprilie,PRINCE NAVARRO,14
Alba Iulia,Mai,ROB OWEN,12
Alba Iulia,Mai,LYNN ROSE,4
Alba Iulia,Mai,DEBBIE RUSSELL,13
Alba Iulia,Mai,TAMMY MANNING,13
Alba Iulia,Mai,VANESSA BRADSHAW,15
Alba Iulia,Mai,RANDOLPH GUTIERREZ,11
Alba Iulia,Mai,TRINA BEARD,9
Alba Iulia,Mai,GREGORIO LLOYD,11
Alba Iulia,Mai,THAD COMPTON,1
Alba Iulia,Mai,TAYLOR HART,7
